电影名,票房,电影类型
战狼2,56.39亿,剧情&动作&战争
流浪地球,46.18亿,科幻
变形金刚5：最后的骑士,15.45亿,动作&惊悚&冒险&科幻
神偷奶爸3,10.3亿,喜剧&动作&动画&冒险
加勒比海盗5：死无对证,11.8亿,动作&冒险&奇幻
哪吒之魔童降世,49.34亿,喜剧&动画&奇幻
红海行动,36.22亿,无分类
摔跤吧！爸爸,12.96亿,动作&传记&运动
悟空传,6.88亿,剧情&动作&奇幻
复仇者联盟4：终局之战,42.05亿,动作&冒险&科幻
速度与激情7,24.26亿,动作&惊悚&犯罪
捉妖记,24.21亿,剧情&喜剧&奇幻
唐人街探案2,33.71亿,喜剧&动作&悬疑
我不是药神,30.75亿,剧情
速度与激情8,26.49亿,动作&惊悚&犯罪
寻龙诀,16.79亿,剧情&动作&冒险&奇幻
疯狂动物城,15.3亿,动作&动画&冒险
羞羞的铁拳,21.9亿,剧情&喜剧
港囧,16.2亿,剧情&喜剧
新木乃伊,6.23亿,动作&冒险&奇幻
复仇者联盟3：无限战争,23.7亿,动作&冒险&奇幻&科幻
夏洛特烦恼,14.39亿,剧情&喜剧
西虹市首富,25.27亿,喜剧
神奇女侠,6.1亿,动作&冒险&奇幻&科幻
疯狂的外星人  2D,--,喜剧&科幻
美人鱼,33.9亿,剧情&喜剧&爱情&动作&奇幻&科幻
美国队长3：英雄内战,12.46亿,动作&惊悚&科幻
侏罗纪世界,14.09亿,动作&惊悚&冒险&科幻
我和我的祖国,31.46亿,剧情
前任3：再见前任,19.26亿,喜剧&爱情
复仇者联盟2：奥创纪元,14.5亿,动作&冒险&奇幻&科幻
海王,19.97亿,动作&冒险&科幻
侏罗纪世界2,16.82亿,动作&冒险&科幻
魔兽,14.72亿,动作&冒险&奇幻&战争
毒液：致命守护者,18.56亿,动作&惊悚&科幻
后来的我们,13.5亿,剧情&爱情
飞驰人生,17.03亿,喜剧&动作
中国机长,28.84亿,剧情
大黄蜂英文版,--,动作&冒险&科幻
碟中谍6：全面瓦解,12.34亿,动作&惊悚&冒险
西游伏妖篇,16.49亿,喜剧&冒险&奇幻
银河护卫队2,6.86亿,喜剧&动作&冒险&科幻
星球大战：原力觉醒,8.25亿,动作&冒险&奇幻
老炮儿,9.02亿,剧情&动作
头号玩家,13.85亿,无分类
狂暴巨兽,9.94亿,动作&冒险&科幻
芳华,14.11亿,剧情
建军大业,3.99亿,剧情&历史
绣春刀：修罗战场,2.63亿,剧情&动作&古装
奇幻森林,9.8亿,剧情&冒险&奇幻
惊奇队长,10.25亿,动作&冒险&科幻
蚁人,6.7亿,动作&科幻
湄公河行动,11.73亿,剧情&动作&犯罪
三生三世十里桃花,5.31亿,剧情&爱情&奇幻
无双,12.63亿,动作&犯罪
寻梦环游记,12.02亿,动画&冒险
碟中谍5：神秘国度,8.68亿,动作&惊悚&冒险
功夫熊猫3,10亿,喜剧&动作&动画&冒险&家庭
煎饼侠,11.51亿,剧情&喜剧
西游记之大圣归来,9.56亿,喜剧&动作&动画&奇幻
唐人街探案,8.11亿,喜剧&动作&悬疑
变形金刚4：绝迹重生,19.79亿,动作&冒险&科幻
盗墓笔记,10.01亿,冒险&奇幻
叶问.,--,剧情&动作&历史
功夫瑜伽,17.53亿,喜剧&动作&冒险
猩球崛起：终极之战,7.33亿,剧情&动作&冒险&科幻
烈火英雄,16.76亿,剧情
阿丽塔：战斗天使,8.88亿,动作&冒险&科幻
异形：契约,3.1亿,惊悚&冒险&科幻
火星救援,5.86亿,动作&冒险&科幻
绝地逃亡,8.89亿,喜剧&动作
速度与激情：特别行动,14.18亿,动作&犯罪
超时空同居,8.91亿,喜剧&奇幻
蜘蛛侠：英雄远征,14.01亿,动作&冒险&科幻
少年的你,15.32亿,剧情&爱情
蜘蛛侠：英雄归来,7.67亿,动作&冒险&奇幻&科幻
京城81号2,2.16亿,剧情&惊悚&悬疑
比悲伤更悲伤的故事,9.46亿,爱情
反贪风暴4,7.88亿,动作&犯罪
一出好戏,13.44亿,剧情&喜剧
鬼吹灯之九层妖塔,6.8亿,动作&惊悚&冒险&奇幻
终结者：创世纪,7.24亿,动作&惊悚&冒险&科幻
X战警：天启,8.02亿,动作&冒险&奇幻&科幻
蝙蝠侠大战超人：正义黎明,6.19亿,动作&冒险&奇幻&科幻
蚁人2：黄蜂女现身,8.25亿,动作&冒险&科幻
恶棍天使,6.49亿,喜剧
扫毒2天地对决,12.85亿,剧情&动作&犯罪&悬疑
007：幽灵党,5.4亿,动作&惊悚&冒险&悬疑
神秘巨星,7.39亿,剧情
寒战2,6.78亿,剧情&动作&犯罪
霍比特人3：去而复归,7.65亿,动作&冒险&奇幻
智取威虎山3D,8.83亿,动作&冒险&战争
金刚：骷髅岛,11.61亿,爱情&动作&冒险&奇幻
澳门风云2,9.72亿,剧情&喜剧&动作
正义联盟,6.85亿,无分类
雷神3：诸神黄昏,7.36亿,动作&冒险&奇幻
北京遇上西雅图之不二情书,7.86亿,剧情&喜剧&爱情
巨齿鲨,10.43亿,动作&冒险&科幻
从你的全世界路过,8.12亿,喜剧&爱情
无问西东,7.47亿,剧情&爱情&战争
黑豹,6.56亿,动作&冒险&科幻
